target	target_kind	status	detail
/SubmarineTitans/Recovered/VTables/STCrabCVTable+216	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+220	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+224	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+228	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+232	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+236	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+240	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+244	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+248	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+252	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+256	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+260	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+264	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+268	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+272	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+276	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+280	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+284	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+288	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STDcResourcCVTable+4	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STDcResourcCVTable+8	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STDcResourcCVTable+12	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STDcResourcCVTable+16	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STDcResourcCVTable+20	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STDcResourcCVTable+24	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STDcResourcCVTable+32	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STDcResourcCVTable+36	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STDcResourcCVTable+40	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STDcResourcCVTable+44	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STDcResourcCVTable+48	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STDcResourcCVTable+52	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STDcResourcCVTable+56	vtable_slot	disabled	apply=0
